,wikidata_id,wikiart_id
260,Q16928483,francisco-goya/portrait-of-the-countess-of-carpio-marquesa-de-la-solana-1793
261,Q18691373,edelfelt-albert/burnt-village
262,Q610803,salvador-dali/the-bread-basket
263,Q19883434,paul-signac/portrait-of-felix-feneon-1890
264,Q3948947,artemisia-gentileschi/saint-cecilia-as-a-lute-player-1620
265,Q118435736,rosa-bonheur/king-of-the-forest
266,Q5826311,paul-signac/the-harbour-at-marseilles-1906
267,Q122680321,amedeo-modigliani/seated-woman-with-child-motherhood-1919
268,Q11081286,joan-miro/the-table-still-life-with-rabbit
269,Q31195260,rene-magritte/the-lovers-1928-1
270,Q20190029,henri-rousseau/rendez-vous-in-the-forest-1886
271,Q27979259,kees-van-dongen/lucie-and-her-partner-1911
272,Q3964106,marc-chagall/midsummer-night-s-dream-1939
273,Q119294471,henri-matisse/sunlit-interior-1942
274,Q3888838,georges-seurat/landscape-at-grandcamp-1885
275,Q121863253,henri-matisse/woman-with-blue-bodice-1935
276,Q51582175,gustave-courbet/the-german-huntsman-1859
277,Q29656614,jacob-jordaens/the-king-drinks-1640
278,Q64576717,henri-matisse/the-window-1916
279,Q47344441,albert-marquet/the-beach-at-f-camp-1906
280,Q48651005,gustave-courbet/self-portrait-with-a-black-dog-1841
281,Q15690957,jules-bastien-lepage/going-to-school-1882
282,Q60649457,jacob-jordaens/a-picker-and-his-dogs
283,Q77322720,alfred-sisley/the-seine-at-grenelle-rainy-wether-1878
284,Q116772186,justus-van-gent/pio-ii-pont-max-1476
285,Q20186732,jean-francois-millet/leconte-de-lisle-1840-1
286,Q3209358,salvador-dali/the-railway-station-at-perpignan
287,Q115074345,allegory-of-california-1931
288,Q1997425,joan-miro/north-south
289,Q3904404,giovanni-bellini/pieta
290,Q21081454,lucas-cranach-the-elder/venus-standing-in-a-landscape-1529
291,Q125996422,andre-derain/the-dance-1906
292,Q24939405,giovanni-bellini/st-jerome-reading-in-the-countryside-1485
293,Q60668363,henri-rousseau/the-representatives-of-foreign-powers-coming-to-salute-the-republic-as-a-sign-of-peace-1907
294,Q22043247,henri-matisse/odalisque-in-grey-culottes-1927
295,Q119046156,john-simpson/the-duke-of-wellington
296,Q14942039,berthe-morisot/summer-s-day-1879
297,Q5781032,el-greco/concert-of-angels
298,Q111044006,max-beckmann/quappi-in-blue-in-a-boat-1950
299,Q118592255,luke-fildes/portrait-of-a-young-woman-1900
300,Q12120127,salvador-dali/soft-self-portrait-with-fried-bacon
301,Q131824310,tarsila-do-amaral/second-class
302,Q3558043,piero-di-cosimo/perseus-rescuing-andromeda-1510
303,Q29016638,artemisia-gentileschi/minerva-1640
304,Q75418422,carl-spitzweg/childhood-friends
305,Q111798879,ernst-ludwig-kirchner/russian-woman
306,Q117793373,tamara-de-lempicka/saint-moritz-1929
307,Q3828801,marc-chagall/the-wedding-candles
308,Q19018520,robert-delaunay/window-eiffel-tower
309,Q29023889,artemisia-gentileschi/salome-with-the-head-of-saint-john-the-baptist-1615
310,Q11898003,halonen-pekka/tomater
311,Q16696928,jules-bastien-lepage/hay-making-1877
312,Q3769169,artemisia-gentileschi/judith-beheading-holofernes-1620
313,Q26258071,gustav-klimt/portrait-of-margaret-stonborough-wittgenstein
314,Q24908231,henri-matisse/the-bay-of-tangier-1912
315,Q16038654,salvador-dali/honey-is-sweeter-than-blood-1
316,Q11873274,akseli-gallen-kallela/kullervos-curse-1899
317,Q61677928,henri-matisse/madame-yvonne-landsberg-1914
318,Q46148221,franz-marc/the-monkey-1912
319,Q60606856,fernand-leger/the-level-crossing-1912
320,Q62517843,marc-chagall/a-rooster-1947
321,Q122569973,lovis-corinth/perseus-and-andromeda-1900
322,Q2663568,salvador-dali/the-face-of-war-1941
323,Q127433409,titian/last-supper
324,Q60814332,andre-derain/self-portrait-with-a-cap
325,Q30077191,max-ernst/lust-for-life-1936
326,Q123562260,max-beckmann/the-iron-footbridge-1922
327,Q19861802,robert-delaunay/hommage-a-bleriot-1914
328,Q119228926,henri-matisse/still-life-with-pomegranates-1947
329,Q33133477,francisco-goya/portrait-of-don-francisco-de-borja-tellez-giron
330,Q3821412,amedeo-modigliani/the-pretty-vegetable-vendor-1918
331,Q5944788,simon-vouet/presentation-of-christ-in-the-temple-1641
332,Q3630757,marc-chagall/self-portrait-with-seven-digits-autoportrait-1913
333,Q124249779,amedeo-modigliani/the-red-head
334,Q3751961,gustave-courbet/the-wounded-man-1845
335,Q18736799,gustave-courbet/deer-taking-shelter-in-winter-1866
336,Q62561085,marc-chagall/window-in-the-country-1915
337,Q4056411,salvador-dali/self-portrait-with-raphaelesque-neck-1922
338,Q123734648,edward-hopper/the-long-leg
339,Q10577188,jules-joseph-lefebvre/mary-magdalene-in-the-cave-1876
340,Q10327313,joan-miro/maternity
341,Q61686533,henri-matisse/laurette-with-a-coffee-cup
342,Q21716224,titian/portrait-of-pope-paul-iii-1548
343,Q119761110,anton-raphael-mengs/louis-de-visme
344,Q115453601,agnolo-bronzino/portrait-of-pope-clement-vii
345,Q131585866,rene-magritte/the-giantess-1929
346,Q29840550,pierre-paul-prud-hon/young-zephyr-balancing-above-water
347,Q49198546,edward-hopper/western-motel
348,Q3731227,antonio-del-pollaiolo/hercules-and-anteus-1460
349,Q3228069,jean-honore-fragonard/le-verrou-1778
350,Q464782,grant-wood/american-gothic-1930
351,Q126287538,carl-spitzweg/the-everlasting-bridegroom
352,Q3401216,otto-dix/pragerstrasse-1920
353,Q18916761,francois-boucher/the-chinese-garden
354,Q59510193,marie-laurencin/apollinaire-and-his-friends-1909
355,Q39013,gustave-courbet/the-woman-in-the-waves-the-bather-1868
356,Q2632688,piero-della-francesca/baptism-of-christ-1450
357,Q61409256,henri-matisse/still-life-14
358,Q123577645,philip-de-laszlo/portrait-of-lady-rachel-cavendish
359,Q540488,gustave-courbet/a-burial-at-ornans-1850-1
360,Q12899793,jacob-jordaens/the-bean-king-1
361,Q27768160,hendrick-terbrugghen/duet-1628
362,Q21711836,marc-chagall/the-rooster-1929
363,Q111798862,ernst-ludwig-kirchner/female-nudes-striding-into-the-sea
364,Q19833779,emile-bernard/self-portrait-with-portrait-of-gauguin-1888
365,Q121032875,henri-matisse/still-life-with-a-red-rug-1906
366,Q7232272,henri-matisse/greta-moll-1908
367,Q19882812,joan-miro/dutch-interior-ii
368,Q61958094,salvador-dali/self-portrait-photomontage-with-the-famous-mao-marilyn-that-philippe-halsman-created-at-dali-s
369,Q19912179,gustave-courbet/the-fishing-boat
370,Q61732440,joan-miro/not_detected_227956
371,Q26531871,thomas-gainsborough/the-artist-with-his-wife-and-daughter
372,Q1170165,max-ernst/a-friends-reunion-1922
373,Q18822396,mary-cassatt/portrait-of-girl-1879
374,Q47348358,albert-marquet/july-14th-at-havre-1906
375,Q60150578,rene-magritte/the-marches-of-summer-1939
376,Q112219882,carl-spitzweg/the-sunday-hunting
377,Q3937581,amedeo-modigliani/portrait-of-jean-cocteau-1917
378,Q30128349,dante-gabriel-rossetti/joan-of-arc-kisses-the-sword-of-liberation-1863
379,Q21711748,lyonel-feininger/lady-in-mauve-1922
380,Q119188711,richard-jack/love-tunes-the-shepherd-s-reed
381,Q60346305,amedeo-modigliani/germaine-survage-with-earrings-1918
382,Q24042354,joan-miro/not_detected_227965
383,Q60061853,georges-braque/estaque-the-harbour-1906
384,Q28548269,georges-braque/clarinet-and-bottle-of-rum-on-a-mantelpiece-1911
385,Q15974352,amedeo-modigliani/lolotte-1916
386,Q28777862,august-macke/donkey-rider
387,Q24931491,sir-lawrence-alma-tadema/a-sculpture-gallery-in-rome-at-the-time-of-agrippa-1867
388,Q123152940,anders-zorn/self-portrait
389,Q17343154,piero-di-cosimo/giuliano-da-san-gallo-1500
390,Q6508028,jean-metzinger/le-go-ter-1911
391,Q18565919,andrea-solario/the-lamentation-of-christ
392,Q61895374,paul-cezanne/still-life-with-plaster-cupid-1895
393,Q23941117,henri-matisse/studio-quay-of-saint-michel-1916
394,Q125217272,henri-matisse/interior-1940
395,Q11753188,caspar-david-friedrich/the-summer
396,Q276174,sir-lawrence-alma-tadema/the-roses-of-heliogabalus-1888
397,Q27966620,sebastiano-del-piombo/portrait-of-cardinal-reginald-pole-1540
398,Q128398511,lyonel-feininger/barfuesserkirche-i-1924
399,Q17493544,paul-signac/the-entrance-to-the-port-of-marseille
400,Q124052121,kees-van-dongen/la-gitane-la-curieuse-1911
401,Q3937468,albrecht-durer/portrait-of-barbara-1490
402,Q29016692,artemisia-gentileschi/clio-the-muse-of-history-1632
403,Q28027883,franz-xaver-winterhalter/queen-victoria-1843
404,Q126325787,carl-spitzweg/the-book-worm
405,Q27953753,amedeo-modigliani/woman-with-white-coat-1917
406,Q61951829,salvador-dali/the-paranoiac-critical-study-of-vermeer-s-lacemaker-1955
407,Q20441540,nasreddine-dinet/the-snake-charmer-1889
408,Q18602488,caspar-david-friedrich/rocky-reef-on-the-seashore-1825
409,Q20183101,henri-matisse/spanish-woman-harmony-in-blue-1923
410,Q61389351,maurice-de-vlaminck/still-life-with-knife-1910
411,Q3513416,salvador-dali/sun-table
412,Q3116084,andy-warhol/green-coca-cola-bottles
413,Q60516919,georges-braque/the-castle-in-la-roche-guyon-1909
414,Q8030744,henri-matisse/woman-on-a-high-stool-1914
415,Q20268115,henri-rousseau/the-waterfall-1910
416,Q1195035,francesco-hayez/the-kiss-1859
417,Q79790902,henri-rousseau/jungle-with-lion-1910
418,Q8535304,joan-miro/landscape-the-hare
419,Q11924520,joan-miro/dog-barking-at-the-moon
420,Q3877895,titian/do-not-touch-me-1512
421,Q61655217,salvador-dali/the-rotting-donkey
422,Q3937599,amedeo-modigliani/lunia-czechowska-1919
423,Q107562659,auguste-toulmouche/vanity-1890
424,Q19882479,marc-chagall/paris-through-the-window-1913
425,Q3937606,amedeo-modigliani/portrait-of-leopold-zborowski-1917
426,Q120491335,henri-matisse/interior-in-yellow-1946
427,Q20185214,sebastiano-del-piombo/giulio-di-giuliano-de-medici-pope-clement-vii-1531
428,Q3456089,salvador-dali/archeological-reminiscence-millet-s-angelus
429,Q118145210,lavinia-fontana/judith-with-the-head-of-holofernes-1600
430,Q17495316,paul-serusier/portrait-of-paul-ranson-dressed-as-a-prophet-1890
431,Q60437554,georges-braque/the-black-fish-1942
432,Q61655383,salvador-dali/invisible-sleeping-woman-horse-lion
433,Q122451988,henri-matisse/collioure-1905
434,Q60698940,kazimir-malevich/man-with-horse
435,Q19935938,carl-spitzweg/the-alchemist
436,Q61480042,georges-braque/rooftops-at-ceret-1911
437,Q3944514,piero-di-cosimo/mystical-marriage-of-st-catherine-of-alexandria-1493
438,Q17435192,william-orpen/the-signing-of-peace-in-the-hall-of-mirrors-versailles-28-june-1919
439,Q3637719,marc-chagall/bella-with-white-collar-1917
440,Q949567,william-holman-hunt/the-shadow-of-death
441,Q3549784,henri-rousseau/carnival-evening-1886
442,Q18689275,rosalba-carriera/portrait-of-louis-xv-as-dauphin-1715
443,Q16038447,salvador-dali/fifty-abstract-paintings-which-as-seen-from-two-yards-change-into-three-lenins-masquerading-as
444,Q60237756,mabuse/adam-and-eve-in-paradise
445,Q120551749,henri-matisse/spanish-woman-with-a-tamborine-1909
446,Q62568400,marc-chagall/abraham-and-three-angels-1966
447,Q3139726,maurice-denis/homage-to-cezanne-1900
448,Q97924813,henri-rousseau/the-walk-in-the-forest-1890
449,Q114708955,paul-gauguin/a-breton-boy-1889-1
450,Q17319893,pieter-de-hooch/woman-and-child
451,Q119267408,henri-matisse/bouquet-of-dahlias-and-white-book-1923
452,Q125707590,georges-de-la-tour/boy-blowing-at-lamp
453,Q18573716,jacob-jordaens/king-candaules-of-lydia-showing-his-wife-to-gyges-1646
